CMA_name,CT_ID_NUM,GEO_ID,Population
Toronto,5350157,5350157,2643.00
Toronto,5350158,5350158,2240.00
Toronto,5350159.01,5350159.01,3837.00
Toronto,5350159.02,5350159.02,4561.00
Toronto,5350160,5350160,3230.00
Toronto,5350161,5350161,6621.00
Toronto,5350162,5350162,4968.00
Toronto,5350163,5350163,4348.00
Toronto,5350164,5350164,6331.00
Toronto,5350165,5350165,4300.00
Toronto,5350166,5350166,4178.00
Toronto,5350167.01,5350167.01,1801.00
Toronto,5350167.02,5350167.02,5630.00
Toronto,5350168,5350168,5426.00
Toronto,5350169.01,5350169.01,3433.00
Toronto,5350169.02,5350169.02,7424.00
Toronto,5350170,5350170,3445.00
Toronto,5350171,5350171,3919.00
Toronto,5350172,5350172,2569.00
Toronto,5350173,5350173,3168.00
Toronto,5350174,5350174,7334.00
Toronto,5350175.01,5350175.01,5953.00
Toronto,5350175.02,5350175.02,7988.00
Toronto,5350176,5350176,4229.00
Toronto,5350180,5350180,6517.00
Toronto,5350181.01,5350181.01,4326.00
Toronto,5350181.02,5350181.02,3500.00
Toronto,5350182,5350182,5366.00
Toronto,5350183,5350183,6454.00
Toronto,5350184.01,5350184.01,4892.00
Toronto,5350184.02,5350184.02,3760.00
Toronto,5350185.01,5350185.01,6772.00
Toronto,5350185.02,5350185.02,4791.00
Toronto,5350186,5350186,2298.00
Toronto,5350187,5350187,3405.00
Toronto,5350188,5350188,1953.00
Toronto,5350189,5350189,5472.00
Toronto,5350190.01,5350190.01,9077.00
Toronto,5350190.02,5350190.02,4615.00
Toronto,5350191,5350191,4214.00
Toronto,5350192,5350192,956.00
Toronto,5350193,5350193,3059.00
Toronto,5350194.01,5350194.01,5313.00
Toronto,5350194.02,5350194.02,5659.00
Toronto,5350194.03,5350194.03,2762.00
Toronto,5350194.04,5350194.04,5491.00
Toronto,5350195,5350195,6592.00
Toronto,5350196,5350196,8121.00
Toronto,5350200,5350200,6360.00
Toronto,5350201,5350201,4922.00
Toronto,5350202,5350202,1640.00
Toronto,5350203,5350203,3017.00
Toronto,5350204,5350204,4380.00
Toronto,5350205,5350205,184.00
Toronto,5350206.01,5350206.01,3972.00
Toronto,5350206.02,5350206.02,5660.00
Toronto,5350207,5350207,2302.00
Toronto,5350208,5350208,4034.00
Toronto,5350209,5350209,2747.00
Toronto,5350210,5350210,7855.00
Toronto,5350211,5350211,6286.00
Toronto,5350212,5350212,5618.00
Toronto,5350213,5350213,6792.00
Toronto,5350214,5350214,4307.00
Toronto,5350215,5350215,6565.00
Toronto,5350216,5350216,5494.00
Toronto,5350217,5350217,5782.00
Toronto,5350218,5350218,2657.00
Toronto,5350219,5350219,4193.00
Toronto,5350220,5350220,4069.00
Toronto,5350221.01,5350221.01,6367.00
Toronto,5350221.02,5350221.02,4376.00
Toronto,5350222.01,5350222.01,5409.00
Toronto,5350222.02,5350222.02,5124.00
Toronto,5350223,5350223,3641.00
Toronto,5350224,5350224,1743.00
Toronto,5350225.01,5350225.01,5034.00
Toronto,5350225.02,5350225.02,7777.00
Toronto,5350226,5350226,3216.00
Toronto,5350227,5350227,1748.00
Toronto,5350228,5350228,2951.00
Toronto,5350229,5350229,1255.00
Toronto,5350230.01,5350230.01,2279.00
Toronto,5350230.02,5350230.02,6176.00
Toronto,5350231,5350231,6488.00
Toronto,5350232,5350232,3995.00
Toronto,5350233,5350233,5459.00
Toronto,5350234,5350234,4550.00
Toronto,5350235.01,5350235.01,2812.00
Toronto,5350235.02,5350235.02,5397.00
Toronto,5350236.01,5350236.01,6551.00
Toronto,5350236.02,5350236.02,6051.00
Toronto,5350237.01,5350237.01,6258.00
Toronto,5350237.02,5350237.02,2861.00
Toronto,5350237.03,5350237.03,5522.00
Toronto,5350238.01,5350238.01,3336.00
Toronto,5350238.02,5350238.02,5199.00
Toronto,5350239,5350239,6571.00
Toronto,5350240.01,5350240.01,3366.00
Toronto,5350240.02,5350240.02,5715.00
Toronto,5350241,5350241,3127.00
Toronto,5350242,5350242,1741.00
Toronto,5350243.01,5350243.01,6457.00
Toronto,5350243.02,5350243.02,3496.00
Toronto,5350244.01,5350244.01,5795.00
Toronto,5350244.02,5350244.02,3755.00
Toronto,5350245,5350245,6903.00
Toronto,5350246,5350246,3585.00
Toronto,5350247.01,5350247.01,8842.00
Toronto,5350247.02,5350247.02,6864.00
Toronto,5350248.02,5350248.02,5724.00
Toronto,5350248.03,5350248.03,2789.00
Toronto,5350248.04,5350248.04,5359.00
Toronto,5350248.05,5350248.05,4475.00
Toronto,5350249.01,5350249.01,4812.00
Toronto,5350249.03,5350249.03,5771.00
Toronto,5350249.04,5350249.04,3283.00
Toronto,5350249.05,5350249.05,5518.00
Toronto,5350250.01,5350250.01,5172.00
Toronto,5350250.02,5350250.02,4966.00
Toronto,5350250.04,5350250.04,6031.00
Toronto,5350250.05,5350250.05,7420.00
Toronto,5350260.01,5350260.01,6869.00
Toronto,5350260.03,5350260.03,7409.00
Toronto,5350260.04,5350260.04,4090.00
Toronto,5350260.05,5350260.05,3800.00
Toronto,5350261,5350261,5450.00
Toronto,5350262.01,5350262.01,5472.00
Toronto,5350262.02,5350262.02,6260.00
Toronto,5350263.02,5350263.02,3175.00
Toronto,5350263.03,5350263.03,5514.00
Toronto,5350263.04,5350263.04,5247.00
Toronto,5350264,5350264,1447.00
Toronto,5350265,5350265,4047.00
Toronto,5350266,5350266,3219.00
Toronto,5350267,5350267,6606.00
Toronto,5350268,5350268,6376.00
Toronto,5350269.01,5350269.01,4924.00
Toronto,5350269.02,5350269.02,2574.00
Toronto,5350270.01,5350270.01,5152.00
Toronto,5350270.02,5350270.02,4093.00
Toronto,5350271.01,5350271.01,2413.00
Toronto,5350271.02,5350271.02,4801.00
Toronto,5350272.01,5350272.01,5884.00
Toronto,5350272.02,5350272.02,4776.00
Toronto,5350273.01,5350273.01,4035.00
Toronto,5350273.02,5350273.02,4318.00
Toronto,5350274.01,5350274.01,4871.00
Toronto,5350274.02,5350274.02,4734.00
Toronto,5350275,5350275,5782.00
Toronto,5350276.01,5350276.01,6389.00
Toronto,5350276.02,5350276.02,6720.00
Toronto,5350277,5350277,4294.00
Toronto,5350278,5350278,7770.00
Toronto,5350279.01,5350279.01,4179.00
Toronto,5350279.02,5350279.02,6823.00
Toronto,5350280,5350280,7364.00
Toronto,5350281.01,5350281.01,6475.00
Toronto,5350281.02,5350281.02,3948.00
Toronto,5350282,5350282,4406.00
Toronto,5350283.01,5350283.01,5333.00
Toronto,5350283.02,5350283.02,4618.00
Toronto,5350284,5350284,6914.00
Toronto,5350285,5350285,3283.00
Toronto,5350286,5350286,3685.00
Toronto,5350287.01,5350287.01,7442.00
Toronto,5350287.02,5350287.02,6874.00
Toronto,5350288,5350288,8441.00
Toronto,5350289,5350289,4532.00
Toronto,5350290,5350290,4691.00
Toronto,5350291.01,5350291.01,3851.00
Toronto,5350291.02,5350291.02,4833.00
Toronto,5350292,5350292,6942.00
Toronto,5350293,5350293,4304.00
Toronto,5350294.01,5350294.01,4343.00
Toronto,5350294.02,5350294.02,4663.00
Toronto,5350295,5350295,5336.00
Toronto,5350296,5350296,131.00
Toronto,5350297.01,5350297.01,6866.00
Toronto,5350297.02,5350297.02,6171.00
Toronto,5350298,5350298,4482.00
Toronto,5350299.01,5350299.01,6015.00
Toronto,5350299.02,5350299.02,4145.00
Toronto,5350300,5350300,10038.00
Toronto,5350301.01,5350301.01,2862.00
Toronto,5350301.03,5350301.03,4402.00
Toronto,5350301.04,5350301.04,4069.00
Toronto,5350302.01,5350302.01,6387.00
Toronto,5350302.02,5350302.02,6177.00
Toronto,5350302.03,5350302.03,3580.00
Toronto,5350303,5350303,5425.00
Toronto,5350304.01,5350304.01,4540.00
Toronto,5350304.02,5350304.02,4168.00
Toronto,5350304.03,5350304.03,2938.00
Toronto,5350304.04,5350304.04,3668.00
Toronto,5350304.05,5350304.05,2881.00
Toronto,5350304.06,5350304.06,6057.00
Toronto,5350305.01,5350305.01,4586.00
Toronto,5350305.03,5350305.03,4865.00
Toronto,5350305.04,5350305.04,5282.00
Toronto,5350306.01,5350306.01,4679.00
Toronto,5350306.02,5350306.02,4375.00
Toronto,5350307.03,5350307.03,5000.00
Toronto,5350307.04,5350307.04,6276.00
Toronto,5350307.05,5350307.05,3538.00
Toronto,5350307.06,5350307.06,5498.00
Toronto,5350307.07,5350307.07,5637.00
Toronto,5350308.01,5350308.01,10567.00
Toronto,5350308.02,5350308.02,4437.00
Toronto,5350309,5350309,6323.00
Toronto,5350310.01,5350310.01,3367.00
Toronto,5350310.02,5350310.02,5201.00
Toronto,5350311.02,5350311.02,5930.00
Toronto,5350311.03,5350311.03,2648.00
Toronto,5350311.04,5350311.04,6864.00
